timestamp,url,risk_score,risk_level,finding_type,match,context
20260115_155812,http://rest.vulnweb.com/docs/,23,LOW,email,test_user@example.com,"...Body: { ""username"" : ""test_username"" , ""email"" : ""test_user@example.com"" , ""password"" : ""123456"" , ""first_name"" : ""test""..."
20260115_155812,http://rest.vulnweb.com/docs/,23,LOW,email,test_user@example.com,...ser> <username> test_username </username> <email> test_user@example.com </email> <password> 123456 </password> <first_nam...
20260115_155812,http://rest.vulnweb.com/docs/,23,LOW,email,test_user@example.com,"...Body: { ""username"" : ""test_username"" , ""email"" : ""test_user@example.com"" , ""password"" : ""123456"" , ""first_name"" : ""test""..."
20260115_155812,http://rest.vulnweb.com/docs/,23,LOW,email,test_user@example.com,...ser> <username> test_username </username> <email> test_user@example.com </email> <password> 123456 </password> <first_nam...
20260115_155812,http://rest.vulnweb.com/docs/,23,LOW,password_alike,Password: 123456,...cti.com/basic_authentication/api/ Username: admin Password: 123456 Invicti will add this HTTP header to each request...
20260115_155812,http://rest.vulnweb.com/docs/,23,LOW,password_alike,secret: n3tsp4rk3r_s3cr3t,...redentials client_id: rest.testsparker.com client_secret: n3tsp4rk3r_s3cr3t scope: basic Response Fields Access Token: access...
20260115_155812,http://testaspnet.vulnweb.com/login.aspx,0,NONE,password_alike,Password: Remember,...ignup network scanner network vuln help Username: Password: Remember me < January 2026 > Sun Mon Tue Wed Thu Fri Sat 2...
20260115_155812,http://testphp.vulnweb.com/redir.php?r=https://github.com/jarretmoses/react-native-redux-example,0,NONE,email,git@github.com,...e or xcode / android avd Installation $ git clone git@github.com:jarretmoses/react-native-redux-example.git $ cd r...
20260115_155812,http://testphp.vulnweb.com/index.bak,0,NONE,email,git@github.com,...e or xcode / android avd Installation $ git clone git@github.com:jarretmoses/react-native-redux-example.git $ cd r...
20260115_155812,http://testphp.vulnweb.com/secured/phpinfo.php,8,LOW,email,root@dessler.cse.buffalo.edu,...6.2-RELEASE #0: Fri Jan 12 10:40:27 UTC 2007     root@dessler.cse.buffalo.edu:/usr/obj/usr/src/sys/GENERIC i386 Build Date Jul...
20260115_155812,http://testphp.vulnweb.com/secured/phpinfo.php,8,LOW,email,root@localhost.localdomain,...Apache API Version 20051115 Server Administrator root@localhost.localdomain Hostname:Port acuart:0 User/Group www(80)/80 Max...
20260115_155812,http://testphp.vulnweb.com/secured/phpinfo.php,8,LOW,email,root@localhost.localdomain,....0.26 DOCUMENT_ROOT /var/www/acuart/ SERVER_ADMIN root@localhost.localdomain SCRIPT_FILENAME /var/www/acuart/secured/phpinfo.p...
20260115_155812,http://testphp.vulnweb.com/secured/phpinfo.php,8,LOW,email,root@localhost.localdomain,"...T_ROOT""] /var/www/acuart/ _SERVER[""SERVER_ADMIN""] root@localhost.localdomain _SERVER[""SCRIPT_FILENAME""] /var/www/acuart/secure..."
20260115_155812,http://testphp.vulnweb.com/secured/phpinfo.php,8,LOW,email,license@php.net,"...any questions about PHP licensing, please contact license@php.net...."
20260115_155812,http://testasp.vulnweb.com/Login.asp,23,LOW,password_alike,Password: Copyright,...register - SQL scanner - SQL vuln help Username: Password: Copyright 2019 Acunetix Ltd. Warning : This forum is delibe...
